,url,type,2nd type,3rd type,Source Notes (things to know?),Unnamed: 5
224,informationclearinghouse.info,conspiracy,unreliable,,,
225,infowars.com,conspiracy,,,,
226,intellihub.com,conspiracy,unreliable,,,
227,investmentresearchdynamics.com,conspiracy,,,,
228,itccs.org,conspiracy,,,,
229,jesus-is-savior.com,conspiracy,,,,
230,jihadwatch.org,conspiracy,hate,,,
231,jonesreport.com,conspiracy,,,,
232,knowledgeoftoday.org,conspiracy,,,http://www.knowledgeoftoday.org/2012/02/illuminati-secret-hidden-from-masses.html,
233,libertymovementradio.com,conspiracy,,,,
234,libertytalk.fm,conspiracy,,,,
235,libertyvideos.org,conspiracy,,,,
236,militianews.com,conspiracy,bias,hate,,
237,nasamoonhoax.com,conspiracy,,,,
238,nationalufocenter.com,conspiracy,,,,
239,nationindistress.weebly.com,conspiracy,,,,
240,neonnettle.com,conspiracy,fake,bias,http://www.neonnettle.com/features/732-pizzagate-worldwide-pedophile-ring-bust-begins-media-remains-silent-,
241,newstarget.com,conspiracy,,,,
242,nodisinfo.com,conspiracy,unreliable,,,
243,nomorefakenews.com,conspiracy,,,,
244,nowtheendbegins.com,conspiracy,,,,
245,offgridsurvival.com,conspiracy,bias,,http://offgridsurvival.com/shadowgovernmentwars/,
246,oilgeopolitics.net,conspiracy,,,,
247,pamelageller.com,conspiracy,fake,bias,,
248,politicalblindspot.com,conspiracy,junksci,,ex: vaccines are a way for the CIA to spy on us,
249,prepperwebsite.com,conspiracy,fake,,,
250,prisonplanet.com,conspiracy,,,,
251,prisonplanet.com,conspiracy,,,,
252,prisonplanet.tv,conspiracy,,,,
253,rense.com,conspiracy,junksci,,,
254,rumormillnews.com,conspiracy,junksci,rumor,,
255,secretsofthefed.com,conspiracy,junksci,,,
256,sentinelblog.com,conspiracy,junksci,,,
257,sheepkillers.com,conspiracy,junksci,,,
258,shoebat.com,conspiracy,bias,,,
259,silver-coin-investor. com,conspiracy,bias,unreliable,,
260,silverbearcafe.com,conspiracy,,,,
261,silverdoctors.com,conspiracy,bias,,,
262,silverstealers.net,conspiracy,,,,
263,skeptiko.com,conspiracy,junksci,,,
264,sonsoflibertyradio.com,conspiracy,bias, unreliable,,
265,thedailysheeple.com,conspiracy,bias,,,
266,theeconomiccollapseblog.com,conspiracy,bias,,,
267,theeventchronicle.com,conspiracy,junksci,clickbait,,
268,theextinctionprotocol.com,conspiracy,,,,
269,theforbiddenknowledge.com,conspiracy,junksci,,,
270,thelibertybeacon.com,conspiracy,junksci,bias,,
271,themindunleashed.com,conspiracy,junksci,clickbait,,
272,themindunleashed.org,conspiracy,junksci,clickbait,,
273,thephaser.com,conspiracy,,,,
274,thepoliticalinsider.com,conspiracy,bias,unreliable,,
275,truthbroadcastnetwork.com,conspiracy,clickbait,,,
276,truthfrequencyradio.com,conspiracy, ,,,
277,ufoholic.com,conspiracy,,,,
278,wakeupthesheep.com,conspiracy,,,,
279,wakingupwisconsin.com,conspiracy, ,,,
280,weshapelife.org,conspiracy,junksci,,,
281,whatdoesitmean.com,conspiracy,,,,
282,whatreallyhappened.com,conspiracy,rumor,,,
283,whowhatwhy.org,conspiracy,,,9/11 = FBI coverup,
284,wikispooks.com,conspiracy,,,,
285,willyloman.wordpress.com,conspiracy,,,,
286,worldtruth.tv,conspiracy,junksci,,,
287,x22report.com,conspiracy,,,website down,
288,zerohedge.com,conspiracy,,,,
289,zootfeed.com,conspiracy,,,,
290,16wmpo.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
291,24newsflash.com,fake,,,,
292,24wpn.com,fake, ,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
293,70news.wordpress.com,fake,,,,
294,abcnews.com.co,fake,,,,
295,abcnewsgo.co,fake,,,,
296,alternativemediasyndicate.com,fake,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/,
297,americannews.com,fake,,,,
298,americanoverlook.com,fake,,,,
299,americanpoliticnews.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
300,americanpresident.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
301,amposts.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
302,anews24.org/,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
303,anonjekloy.tk,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
304,aurora-news.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
305,beforeitsnews.com,fake,conspiracy,rumor,,
306,bighairynews.com,fake,conspiracy,,,
307,blackinusrancenews.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
308,bostonleader.com,fake,,,,
309,buzzfeedusa.com,fake,rumor,,,
310,cannasos.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
311,cap-news.com,fake, ,,,
312,cbsnews.com.co,fake,,,,
313,channel-7-news.com,fake,,,,
314,channel18news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
315,cityworldnews.com,fake,,,,
316,civictribune.com,fake,,,,
317,clashdaily.com,fake,conspiracy,bias,,
318,cnnews3.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
319,coed.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
320,conservativebyte.com,fake,bias,,,
321,conservativedailypost.com,fake,unreliable,,This website is a weird mix of outright fake news and some stuff that looks more reliable. ,
322,conservativefighters.com,fake,,,,
323,conservativeflashnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
324,conservativeinfidel.com,fake,conspiracy,,,
325,dailybuzzlive.com,fake,,,,
326,dailyheadlines.com,fake, ,,,
327,dailyheadlines.net,fake, ,,,
328,dailyinfobox.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
329,dailynews10.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
330,dailynews5.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
331,dailynewsposts.info,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
332,dailysurge.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
333,dailyusaupdate.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
334,damnleaks.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
335,dcgazette.com,fake,,,,
336,ddemocraticunderground.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
337,denverguardian.com,fake,,,,
338,departed.co,fake,,,redirects to dcposts.com ,
339,departedmedia.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
340,diyhours.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
341,donaldtrumpnews.co,fake,,,,
342,donaldtrumppotus45.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
343,downtrend.com,fake,satire,,,
344,drudgereport.com.co,fake,,,,
345,embols.com,fake,,,,
346,empirehearland.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
347,empireherald.com,fake,satire,,,
348,empirenews.net,fake,satire,,,
349,empirenews.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
350,en-vovle.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
351,enabon.com,fake,,,"No authors, no contact, just copy/pasted from other questionable sites",
352,enduringvision.com,fake,,,,
353,enhlive.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
354,eutopia.buzz,fake,satire,conspiracy,,
355,fakingnews.com,fake,satire,,fiction disclaimer on bottom of home screen ,
356,fedsalert.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
357,flashnewscorner.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
358,floridasunpost.com,fake,satirical,,I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb ,
359,freedomdaily.com,fake,,,,
360,freshdailyreport.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
361,givemeliberity01.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
362,globalpoliticsnow.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
363,goneleft.com,fake,,,,
364,gopthedailydose.com,fake,conspiracy,bias,,
365,gummypost.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
366,healthycareandbeauty.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
367,healthyworldhouse.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
368,immediatesafety.org,fake,,,https://immediatesafety.org/dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding/,
369,infostormer.com,fake,hate,conspiracy,,
370,interestingdailynews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
371,intrendtoday.com,fake,clickbait,,,
372,itaglive.com,fake,,,,
373,itmakessenseblog.com,fake,,,,
374,iwanttoexplore.com,fake,,,mostly turned back into car website,
375,kmt11.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
376,konkonsagh.biz,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
377,krbcnews.com,fake,,,,
378,ky12news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
379,ladylibertynews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
380,lastdeplorables.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
381,learnprogress.org,fake,bias,,http://www.learnprogress.org/white-house-website-sell-jewelry/,
382,liberalplug.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
383,libertyalliance.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
384,libertyblitzkrieg.com,fake,,,,
385,local31news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
386,madworldnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
387,maganews.co,fake,,,,
388,majorthoughts.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
389,mediamass.net,fake,,,,
390,megynkelly.us,fake,,,,
391,mentor2day.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
392,metropolitanworlds.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
393,mpidailymagazine.com,fake,bias,,,
394,mrconservative.com,fake,satire,,,
395,msnbc.website,fake,,,,
396,myfreshnews.com,fake,bias,,found linked from iwanttoexplore.com,
397,myzonetoday.com,fake,bias,,,
398,nationonenews.com,fake,conspiracy,,,
399,nbc.com.co,fake,,,,
400,nephef.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
401,newpoliticstoday.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
402,news4ktla.com,fake,satire,,,
403,newsbbc.net,fake,,,,
404,newsbreakshere.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
405,newsbysquad.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
406,newsdaily12.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
407,newsexaminer.net,fake,satire, ,,
408,newsfrompolitics.com,fake,,,,
409,newsleak.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
410,newslo.com,fake,,,redirects to http://politicops.com/ (12/2),
411,newsmagazine.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
412,newswatch28.com,fake,,,,
413,newswatch33.com,fake,,,,
414,newswithviews.com,fake,conspiracy,,,
415,now8news.com,fake,,,,
416,onepoliticalplaza.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
417,onlineconservativepress.com,fake,conspiracy,bias,,
418,openmagazines.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
419,pakalertpress.com,fake,,,,
420,politicalo.com,fake, ,,,
421,politicalsitenews.com,fake,,, ,
422,politicalupdator.com,fake,clickbait,bias,,
423,politicono.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
424,politicsusanews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
425,president45donaldtrump.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
426,prntly.com,fake,,,,
427,proamericanews.com,fake,,,,
428,proudcons.com,fake,bias,,,
429,react365.com,fake,,,fake news generator for pranking friends,
430,realnewsrightnow.com,fake,satire,,,
431,redcountry.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
432,redrocktribune.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
433,religionmind.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
434,rhotv.com,fake,,,,
435,rickwells.us,fake,conspiracy,,,
436,rilenews.com,fake,satire,,,
437,rogue-nation3.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
438,rumorjournal.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
439,smag31.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
440,socialeverythings.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
441,stormcloudsgathering.com,fake,,,,
442,subjectpolitics.com,fake,bias,,,
443,success-street.com,fake,clickbait,,http://success-street.com/2017/01/18/wow-obama-orders-life-sized-bronze-statute-permanently-installed-white-house/,
444,supremepatriot.com,fake,bias,,,
445,tdtalliance.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
446,teaparty.org,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
447,thatviralfeed.net,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
448,the-insider.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
449,theamericanindependent.wordpress.com,fake,bias,,,
450,thebigriddle.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
451,thebostontribune.com,fake,,,,
452,thecommonsenseshow.com,fake,conspiracy,,,
453,thecontroversialfiles.net,fake,clickbait, ,,
454,thefreepatriot.org,fake,bias,clickbait,,
455,theinternetpost.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
456,thelastgreatstand.com,fake,conspiracy,bias,,
457,themoralofthestory.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
458,thenet24h.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
459,thenewyorkevening.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
460,theracketreport.com,fake,satire,,"I can't find disclaimers, but I think it's satirical ",
461,thereporterz.com,fake,,,,
462,therightscoop.com,fake,clickbait,,"no authors, no history, no about us, unverifiable data, etc.",
