,url,type,2nd type,3rd type,Source Notes (things to know?),Unnamed: 5
495,usapolitics24hrs.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
496,usapoliticsnow.com,fake,bias,,,
497,usapoliticszone.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
498,usasnich.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
499,usasupreme.com,fake, ,,,
500,usatoday.com.co,fake,,,,
501,usatodaynews.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
502,usatwentyfour.com,fake,,,,
503,usconservativetoday.com,fake,,,,
504,usfanzone.com,fake,bias,,,
505,ushealthyadvisor.com,fake,conspiracy,junksci,,
506,ushealthylife.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
507,usinfonews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
508,uspoliticslive.com,fake,bias,conspiracy,,
509,uspoln.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
510,uspostman.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
511,vigilantcitizen.com,fake,conspiracy,,,
512,viralactions.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
513,viralliberty.com,fake,bias,clickbait,,
514,voxtribune.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
515,washingtonfed.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
516,washingtonpost.com.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
517,webdaily.com,fake,conspiracy,bias,,
518,weeklyworldnews.com,fake,rumor,clickbait,pretty well known tabloid/fake news source,
519,worldpoliticsus.com,fake,,,website down,
520,worldrumor.com,fake,,,no longer being updated?,
521,worldstoriestoday.com,fake,,,no longer being updated?,
522,wtoe5news.com,fake,satire,,https://web.archive.org/web/20161115024211/http://wtoe5news.com/us-election/pope-francis-shocks-world-endorses-donald-trump-for-president-releases-statement/,
523,yesimright.com,fake,bias,,,
524,yourfunpage.com,fake,,,mostly links to rando YT videos,
525,worldpoliticsnow.com,fake ,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
526,farmwars.info,fake news,conspiracy,,"Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this.",
527,actforamerica.org/news,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
528,adflegal.org/media,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
529,americanborderpatrol.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
530,amren.com,hate,conspiracy,,,
531,amren.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
532,aryannationswordwide1488.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
533,barenakedislam.com,hate,,,,
534,barnesreview.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
535,bigbluevision.com,hate,,,,
536,centerforsecuritypolicy.org/#articles,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
537,christianfightback.com,hate,bias,,,
538,creativitymovement.net/category/news/,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
539,dailyken.com,hate,,,,
540,dailystormer.com,hate,conspiracy,bias,pretty well known neo-nazi site,
541,darkmoon.me,hate,bias,,,
542,davidduke.com,hate,,,,
543,drrichswier.com,hate,bias,,,
544,eutimes.net,hate,conspiracy,,,
545,gatesofvienna.net,hate,conspiracy,,,
546,glaringhypocrisy.com,hate,conspiracy,,"references to ""Jew World Order""",
547,ihr.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
548,libertyfederation.com,hate,,,,
549,nationalvanguard.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
550,npiamerica.org,hate,bias,,white supremacist think tank,
551,returnofkings.com,hate,,,,
552,themuslimissue.wordpress.com,hate,conspiracy,,,
553,therightstuff.biz,hate,,,,
554,truthfeed.com,hate,bias,conspiracy,,
555,whitepower.com,hate,conspiracy,bias,,
556,americankabuki.blogspot.com,junksci,,,,
557,ancient-code.com,junksci,unreliable,,,
558,checkoutthehealthyworld.com,junksci,clickbait,,,
559,collective-evolution.com,junksci,,,,
560,collectivelyconscious.net,junksci,conspiracy,,,
561,consciouslifenews.com,junksci, ,,,
562,dineal.com,junksci,,,,
563,ewao.com,junksci,,,,
564,experimentalvaccines.org,junksci,conspiracy,,,
565,foodbabe.com,junksci,,,,
566,galacticconnection.com,junksci,,,,
567,geoengineeringwatch.org,junksci,conspiracy,,,
568,greenmedinfo.com,junksci,,,,
569,healthimpactnews.com,junksci,bias,,,
570,healthnutnews.com,junksci,,,,
571,healthy-holistic-living.com,junksci,clickbait,,,
572,icr.org,junksci,,,,
573,in5d.com,junksci,,,,
574,lifeprevention.com,junksci,,,,
575,naturalblaze.com,junksci,conspiracy,,,
576,naturalnews.com,junksci,conspiracy,,,
577,naturalnewsblogs.com,junksci,,,,
578,rawforbeauty.com,junksci,,,,
579,realfarmacy.com,junksci,conspiracy,,,
580,realplanetnews.com,junksci,,,,
581,responsibletechnology.org,junksci,,,,
582,revolutions2040.com,junksci,clickbait,,,
583,thetruthaboutcancer.com,junksci,,,,
584,thetruthwins.com,junksci,conspiracy,clickbait,,
585,wakingtimes.com,junksci,,,,
586,whydontyoutrythis.com,junksci,rumor,,,
587,worldwidehealthy.com,junksci,clickbait,,,
588,dailyleak.org,satire,fake,,,
589,advocate.com,political,reliable,,,
590,alternet.org,political,reliable,,,
591,americannewsx.com,political,bias,satire,,
592,americanprogress.org,political,reliable,,,
593,attn.com,political,clickbait,,,
594,baptistnews.com,political,,,circulates generally reliable information from a p.o.v. but not at the expense of informational integrity ,
595,breitbart.com,political,unreliable,bias,,
596,cato.org/blog,political,reliable,,,
597,chroniclesmagazine.org,political,,,"from what I gather, like the opposite of Jacobin (paleoconservative) ",
598,city-journal.org,political,,,,
599,commentarymagazine.com,political,,,,
600,commondreams.org,political,clickbait,,,
601,conservativereview.com,political,,,,
602,countercurrents.org,political,unreliable,,This site is pretty explicit about it's p.o.v. and is coming from a political perspective but doesn't fit under how we are defining 'bias',
603,counterinformation.wordpress.com,political,,,,
604,counterpunch.com,political,,,explicit POV - legit authors,
605,counterpunch.org,political,,,explicit POV - legit authors,
606,dailycaller.com,political,clickbait,bias,a weird mix of info. they link to extremely biased sites (as sources) and more reliable/balanced sources,
607,dailykos.com,political,clickbait, ,,
608,davidstockmanscontracorner.com,political,,,,
609,deadlinelive.info,political,conspiracy,,,
610,dennismichaellynch.com,political,,,,
611,dissentmagazine.org,political,,,,
612,drudgereport.com,political,bias,,,
613,economicnoise.com,political,unreliable,,"sites some problematic sources, like CNS news",
614,ecowatch.com,political,,,"this site claims junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/",
615,emptywheel.net,political,,,commentary on current events/news,
616,filmsforaction.org,political,,,,
617,foreignpolicyjournal.com,political,,,legit source coming from a political perspective,
618,freedomworks.org,political,,,,
619,fusion.net,political,reliable,,website contains some satire ,
620,geopolmonitor.com,political,,,this website is tricky (in terms of writers using some interesting frames/language). def could use a second analysis.,
621,guardianlv.com,political,,,,
622,heritage.org,political,,,,
623,ijr.com,political,bias,unreliable,,
624,jackpineradicals.com,political,,,left wing discussion site,
625,jacobinmag.com,political,,,,
626,judicialwatch.org,political,,,,
627,mintpressnews.com,political,,,legit source form a political perspective,
628,mrc.org,political,bias,,,
629,nakedcapitalism.com,political,,,"commentary on finance, economics, politics and power",
630,nationalreview.com,political,,,,
631,newcoldwar.org,political,,,"contains statement that site authors are ""independent, but not non-partisan"" (anti-war (Ukraine))",
632,newscorpse.com,political, , ,http://www.newscorpse.com/ncWP/?p=34163,
633,oann.com,political,reliable,,,
634,observer.com,political,,,"vacillates between some pieces that are ""bias"" and others that are ""reliable""",
635,occupy.com,political,,,,
636,pjmedia.com,political,bias,,"https://mediabiasfactcheck.com/pj-media/ ;  https://pjmedia.com/about-us (ground zero mosque, 'doctored climate change data')",
637,presidentialvoting2016.com,political,bias,unreliable,,
638,proudemocrat.com,political,,,,
639,rawstory.com,political,clickbait,,,
640,redstate.com,political,clickbait,,,
641,resistancereport.com,political,unreliable,,http://www.politifact.com/personalities/resistance-report/,
642,rinf.com,political,,,,
643,ronpaulinstitute.org,political,,,,
644,ruptly.tv,political,,,owned by RT,
645,theblaze.com,political,clickbait,,,
646,thedailybeast.com,political,,,,
647,thefifthcolumnnews.com,political,,,,
648,theintercept.com,political,,,,
649,thinkprogress.org,political,,,,
650,tomwoods.com,political,unrealiable,,,
651,washingtonexaminer.com,political,unreliable, ,,
652,weeklystandard.com,political,bias,,,
653,yellowhammernews.com,political,,,,
654,christianpost.com,reliable,political,,,
655,consortiumnews.com,reliable,,,The authors on this website are pretty reliable and the articles appear well researched,
656,nutritionfacts.org,reliable,,,"I read through several articles and the sources cited, and appears ok (maybe sometimes a little sensational... so if anyone has specific knowledge of this site and/or good examples of problems, feel free to link them here)",
657,americantoday.news,rumor,bias,,,
658,amtvmedia.com,rumor,unreliable,,,
659,bigbluedimension.com,rumor,bias,,,
660,christiantimesnewspaper.com,rumor,bias,fake,https://www.nytimes.com/2017/01/18/us/fake-news-hillary-clinton-cameron-harris.html?_r=1&mtrref=t.co&gwh=1CC9755BA757D7782D8A46A6F6FBF22E&gwt=pay,
661,express.co.uk,rumor,,,well-known tabloid,
662,loanpride.com,rumor,clickbait,,http://loanpride.com/obama-family-divorce-attorney-quit-smoking-tips/?utm_source=revcontent&utm_medium=56198&utm_term=conservative%20news&utm_content=1770992&utm_campaign=234718&utm_widget_id=56198,
663,magafeed.com,rumor,bias,fake,"""god/emperor"" category for trump",
664,mediazone.news,rumor,unreliable,,,
665,megafreshnews.com,rumor,,,,
666,newswire-24.com,rumor,unreliable,,,
667,pollhype.com,rumor ,clickbait,bias,,
668,abriluno.com,satire,fake,,,
669,aceflashman.wordpress.com,satire,,,,
670,actualidadpanamericana.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
671,adobochronicles.com,satire,,,,
672,associatedmediacoverage.com,satire,,,,
673,awazetribune.com,satire,,,,
674,beehivebugle.com,satire,,,,
675,betootaadvocate.com,satire,,,,
676,bigamericannews.com,satire,fake,,,
677,borowitzreport.com,satire,,,,
678,bostontribune.com,satire,fake,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
679,burrardstreetjournal.com,satire,,,,
680,callthecops.net,satire,,,,
681,celebtricity.com,satire,,,,
682,chaser.com.au,satire,,,,
683,christwire.org,satire,,,,
684,chronicle.su,satire, ,,,
685,clickhole.com,satire,,,,
686,creambmp.com,satire,fake,,,
687,crystalair.com,satire,,,redirects to http://www.cap-news.com/,
688,dailycurrant.com,satire,,,,
689,dailydiscord.com,satire,,,,
690,dailysnark.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
691,dailysquib.co.uk,satire,,,,
692,dandygoat.com,satire,,,,
693,der-postillon.com,satire,,,German language site,
694,derfmagazine.com,satire,,,,
695,disclose.tv,satire,conspiracy,,,
696,diversitychronicle.wordpress.com,satire,,,self-labled: https://diversitychronicle.wordpress.com/disclaimer/ ,
697,duffleblog.com,satire,,,,
698,duhprogressive.com,satire,,,,
699,elkoshary.com,satire,,,About Me notes that it's not fake/satirical news,
700,elmundotoday.com,satire,,,About Me notes that it's not fake/satirical news,
701,empiresports.co,satire,,,About Me notes that it's not fake/satirical news,
702,empiresports.co,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
703,fmobserver.com,satire,,,,
704,fognews.ru,satire,,,site contains satire disclaimer,
705,freepatriot.org,satire,,,site contains satire disclaimer ,
706,freewoodpost.com,satire,,,,
707,fridaymash.com,satire,,,,
708,glossynews.com,satire,,,,
709,gomerblog.com,satire,,,site contains satire disclaimer ,
710,holyobserver.com,satire,,,,
711,humortimes.com,satire,,,,
712,huzlers.com,satire,,,,
713,ironictimes.com,satire,,,,
714,islamicanews.com,satire,,,,
715,johnnyrobish.com,satire,,,,
716,landoverbaptist.org,satire,,,,
717,liberalbias.com,satire,,,,
718,liberaldarkness.com,satire,fake,,,
719,lushforlife.com,satire,,,,
720,nahadaily.com,satire,,,,
721,nationalreport.net,satire,fake,,,
722,ncscooper.com,satire,,,,
723,newsbiscuit.com,satire,,,http://www.newsbiscuit.com/about/disclaimer/ ,
724,newsbreakers.org,satire,,,,
725,newsmutiny.com,satire,fake,,,
726,newsthump.com,satire,,,site contains satire disclaimer,
727,newstoad.net,satire,,,Tagline: The news they don't want you to hear. Because it isn't true.,
728,newyorker.com/humor,satire,,,,
729,objectiveministries.org,satire,,,,
730,patriotnewsdaily.com,satire,,,,
731,politicops.com,satire,fake,,redirects to Newslo,
732,politicot.com,satire,fake,,redirects to Newslo,
733,reductress.com,satire,,,,
734,religionlo.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
735,rockcitytimes.com,satire,,,,
736,satiratribune.com,satire,,,,
737,satirewire.com,satire,,,,
738,scrappleface.com,satire,,,,
739,sensationalisttimes.com,satire,,,,
740,speld.nl,satire,,,,
741,sportspickle.com,satire,,,,
742,stneotscitizen.com,satire,,,,
743,stuppid.com,satire,,,,
744,surrealscoop.com,satire,,,,
745,thebeaverton.com,satire,,,,
746,thedailymash.co.uk,satire,,,,
747,thedailywtf.com,satire,,,,
748,thehardtimes.net,satire,,,,
749,theineptowl.com,satire,,,,
750,thelastlineofdefense.org,satire,,,http://thelastlineofdefense.org/about-us/,
751,themadisonmisnomer.com,satire,,,,
752,themideastbeast.com,satire,,,http://www.themideastbeast.com/about/,
753,thenewsnerd.com,satire,,,,
754,theonion.com,satire,,,,
755,thepoke.co.uk,satire,,,,
756,therightists.com,satire, ,,publishes both biased and fake content,
757,theseattletribune.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
758,theshovel.com.au,satire,,,,
759,theskunk.org,satire,,,,
760,thespoof.com,satire,,,,
761,thestatelyharold.com,satire,,,,
762,thetimesoftheworld.com,satire,,,,
763,theunrealtimes.com,satire,,,,
764,theuspatriot.com,satire,fake,,,
765,thevalleyreport.com,satire,,,,
766,topekasnews.com,satire,,,,
767,unconfirmedsources.com,satire,,,,
768,us.blastingnews.com,satire,unreliable,,,
769,waterfordwhispersnews.com,satire,,,,
770,williambanzai7.blogspot.com,satire,,,,
771,winkprogress.com,satire,,,,
772,witscience.org,satire,,,,
773,wonkie.com,satire,,,,
774,worldnewsdailyreport.com,satire,,,,
775,wundergroundmusic.com,satire,,,,
776,www.rt.com,state,,,,
777,aanirfan.blogspot.co.uk,unreliable,,,0,
778,acting-man.com,unreliable,conspiracy,,publishes articles denying climate change,
779,ahtribune.com,unreliable,bias,,,
780,allnewspipeline.com,unreliable,conspiracy,,,
781,anonews.co,unreliable,,,,
782,anonhq.com,unreliable,,,,
783,anonnews.co,unreliable,,,,
784,asia-pacificresearch.com,unreliable,satire,,,
785,automaticearth.com,unreliable,,,links to MSM sources and unreliable sources,
786,awm.com,unreliable,bias,clickbait,,
787,blackagendareport.com,unreliable,,,anon submissions,
788,boilingfrogspost.com,unreliable,,,"links to natural news, blacklist news, some conspiracy sites",
789,breakpoint.org,unreliable,,,,
790,bvanews.com,unreliable,bias,fake,seems like a combination of totally fake and unreliable reports of 'real' news,
791,cnnnext.com,unreliable,,,basically an RT video channel,
792,cnsnews.com,unreliable,bias,,The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence) ,
793,coasttocoastam.com,unreliable,,,,
794,conservativeoutfitters.com,unreliable,clickbait,,,
795,davejanda.com,unreliable,,,,
796,dcleaks.com,unreliable,,,,
797,financialsurvivalnetwork.com,unreliable,bias,,,
798,guccifer2.wordpress.com,unreliable,,,,
799,ifyouonlynews.com,unreliable,satire,,,
800,jewsnews.co.il,unreliable,bias,fake,,
801,libertynews.com,unreliable,bias,,,
802,mad-yet.blogspot.com,unreliable,,,"links to real news stories, but also some questionable/decontextualized images",
803,madpatriots.com,unreliable,clickbait,,,
804,madworldnews.com,unreliable,hate,,,
805,madworldnews.com,unreliable,clickbait,,,
806,morningledger.com,unreliable,conspiracy,,,
807,morningnewsusa.com,unreliable,,,"stories seem to originate from real news, but are somewhat clickbait-y and sources are not cited",
808,nevo.news,unreliable,bias,,,
809,newcenturytimes.com,unreliable,bias,,,
810,newsmax.com,unreliable,bias,,,
811,northcrane.com,unreliable,,,,
812,nutritionalanarchy.com,unreliable,,,,
813,politicalears.com,unreliable,clickbait,,,
814,politicsintheusa.com,unreliable,bias,,,
815,powerpoliticians.com,unreliable,,,,
816,shareblue.com,unreliable,political,bias,My analysis is similar to this site: https://mediabiasfactcheck.com/shareblue/,
817,sovereignman.com,unreliable,,,,
818,theantimedia.org,unreliable,bias,conspiracy,ex: http://theantimedia.org/cdc-admits-ebola-airborne/,
819,theduran.com,unreliable,,,,
820,thefreethoughtproject.com,unreliable,conspiracy,clickbait,,
821,thegoldandoilguy.com/articles,unreliable,,,,
822,theinformedamerican.net,unreliable,,,,
823,thelibertymill.com,unreliable,bias,conspiracy,,
824,usdefensewatch.com,unreliable,,,,
825,usviewer.com,unreliable,fake, ,"basically copy/pastes parts of actual reuters stories, no authors listed or publication info",
826,veteransnewsnow.com,unreliable,political,,"I read sample articles and didn't find inaccuracy, but the language is strong/loaded",
827,wallstreetonparade.com,unreliable,,,mostly linking/commenting on both news and other sources.,
828,weaselzippers.us,unreliable,bias,,copies/pastes quotes/bits from news orgs and other questionable sites,
829,whowhatwhy.com,unreliable,,,,
830,wikileaks.com,unreliable, , ,https://www.nytimes.com/2017/03/09/opinion/the-truth-about-the-wikileaks-cia-cache.html?_r=0,
831,wikileaks.org,unreliable, ,,Increasingly wikileaks is being accused of spreading misinformation,
832,wolfstreet.com,unreliable,,,,
